,colgadas
702,323.0
703,359.0
704,300.0
705,332.0
706,305.0
707,302.0
708,281.0
709,367.0
710,379.0
711,324.0
712,318.0
713,312.0
714,365.0
715,315.0
716,341.0
717,342.0
718,309.0
719,311.0
720,298.0
721,296.0
722,313.0
723,376.0
724,312.0
725,311.0
726,333.0
727,340.0
728,363.0
729,378.0
730,348.0
731,355.0
732,342.0
733,319.0
734,319.0
735,322.0
736,310.0
737,365.0
738,350.0
739,318.0
740,299.0
741,315.0
742,338.0
743,322.0
744,333.0
745,327.0
746,343.0
747,321.0
748,327.0
749,331.0
750,334.0
751,324.0
752,319.0
753,293.0
754,290.0
755,304.0
756,332.0
757,344.0
758,323.0
759,324.0
760,305.0
761,357.0
762,352.0
763,323.0
764,340.0
765,338.0
766,298.0
767,356.0
768,323.0
769,298.0
770,308.0
771,346.0
772,313.0
773,339.0
774,328.0
775,295.0
776,318.0
777,342.0
778,346.0
779,352.0
780,346.0
781,339.0
782,320.0
783,294.0
784,338.0
785,316.0
786,340.0
787,328.0
788,334.0
789,317.0
790,349.0
791,288.0
792,322.0
793,347.0
794,342.0
795,310.0
796,370.0
797,324.0
798,318.0
799,320.0
800,332.0
801,299.0
802,325.0
803,316.0
804,313.0
805,318.0
806,324.0
807,357.0
808,336.0
809,304.0
810,294.0
811,336.0
812,320.0
813,347.0
814,347.0
815,331.0
816,326.0
817,351.0
818,369.0
819,299.0
820,377.0
821,329.0
822,306.0
823,325.0
824,330.0
825,303.0
826,338.0
827,360.0
828,351.0
829,316.0
830,329.0
831,323.0
832,303.0
833,327.0
834,338.0
835,267.0
836,319.0
837,361.0
838,352.0
839,327.0
840,290.0
841,349.0
842,322.0
843,297.0
844,310.0
845,364.0
846,323.0
847,325.0
848,292.0
849,328.0
850,306.0
851,317.0
852,349.0
853,317.0
854,328.0
855,363.0
856,313.0
857,326.0
858,320.0
859,328.0
860,296.0
861,330.0
862,388.0
863,328.0
864,322.0
865,332.0
866,324.0
867,352.0
868,334.0
869,317.0
870,363.0
871,331.0
872,326.0
873,300.0
874,347.0
875,384.0
876,333.0
877,384.0
878,314.0
879,340.0
880,349.0
881,303.0
882,351.0
883,375.0
884,343.0
885,334.0
886,357.0
887,347.0
888,357.0
889,327.0
890,298.0
891,379.0
892,312.0
893,314.0
894,324.0
895,363.0
896,330.0
897,366.0
898,334.0
899,334.0
900,335.0
901,348.0
902,352.0
903,329.0
904,317.0
905,357.0
906,318.0
907,346.0
908,293.0
909,333.0
910,332.0
911,361.0
912,319.0
913,366.0
914,302.0
915,318.0
916,314.0
917,328.0
918,290.0
919,362.0
920,316.0
921,347.0
922,325.0
923,351.0
924,319.0
925,358.0
926,328.0
927,358.0
928,314.0
929,310.0
930,324.0
931,317.0
932,323.0
933,347.0
934,339.0
935,314.0
936,345.0
937,348.0
938,336.0
939,376.0
940,319.0
941,312.0
942,294.0
943,358.0
944,347.0
945,343.0
946,333.0
947,291.0
948,288.0
949,319.0
950,355.0
951,302.0
952,293.0
953,281.0
954,304.0
955,317.0
956,348.0
957,355.0
958,351.0
959,385.0
960,317.0
961,357.0
962,361.0
963,371.0
964,306.0
965,324.0
966,343.0
967,327.0
968,369.0
969,378.0
970,327.0
971,289.0
972,323.0
973,338.0
974,348.0
975,330.0
976,315.0
977,333.0
978,346.0
979,352.0
980,346.0
981,317.0
982,286.0
983,328.0
984,326.0
985,320.0
986,330.0
987,297.0
988,346.0
989,340.0
990,327.0
991,326.0
992,323.0
993,354.0
994,328.0
995,329.0
996,323.0
997,362.0
998,310.0
999,337.0
1000,330.19
